x;y;vx;vy;vz;pitch;roll;yaw
2564.99;-2365.76;-439.82;12.36;0.0;65021.0;65490.0;32168.0
2444.87;-2378.16;-393.93;-196.0;0.0;65021.0;173.0;30514.0
2344.15;-2426.37;-438.5;-36.38;0.0;65021.0;65276.0;28510.0
2235.89;-2369.56;-312.16;310.09;0.0;65021.0;65325.0;23058.0
2141.18;-2296.15;-240.69;368.33;0.0;65278.0;65276.0;19354.0
2066.68;-2204.69;-241.87;367.56;0.0;64764.0;65288.0;17938.0
2043.76;-2083.84;-26.28;439.21;0.0;64764.0;65484.0;16684.0
2039.84;-1960.97;-9.2;439.9;0.0;64764.0;0.0;16570.0
2037.89;-1839.02;-6.33;439.95;0.0;64764.0;0.0;16532.0
2036.27;-1725.29;-6.25;439.95;0.0;64764.0;0.0;16532.0
2033.3;-1601.43;-19.99;439.55;0.0;64764.0;0.0;16952.0
2026.87;-1476.73;-21.9;439.46;0.0;64764.0;0.0;16876.0
2022.46;-1361.63;-7.23;439.94;0.0;65021.0;65503.0;16284.0
2022.6;-1237.72;-5.01;439.97;0.0;65021.0;0.0;16636.0
2018.19;-1113.91;-27.23;439.16;0.0;65278.0;0.0;17130.0
2009.73;-989.04;-30.48;448.41;145.63;65278.0;65533.0;17016.0
2002.46;-876.05;-25.77;448.71;-93.67;65278.0;65509.0;16520.0
1996.35;-751.19;-17.67;439.64;0.0;65278.0;65524.0;16520.0
1995.43;-626.33;1.75;440.0;0.0;0.0;0.0;16330.0
1996.26;-502.43;3.11;439.99;0.0;65535.0;0.0;16346.0
1996.82;-379.98;1.73;440.0;0.0;65535.0;0.0;16346.0
2028.11;-274.92;173.91;404.17;0.0;65278.0;270.0;17372.0
2025.88;-151.55;-64.89;435.19;0.0;65278.0;43.0;18238.0
1999.94;-31.16;-34.44;438.65;0.0;65278.0;65265.0;19724.0
2031.72;77.57;32.15;438.82;0.0;65535.0;304.0;20822.0
1985.48;188.49;-234.11;372.55;0.0;65535.0;106.0;23200.0
1911.24;284.12;-200.45;391.69;0.0;65021.0;65276.0;26118.0
1873.27;401.57;-279.42;339.89;0.0;64764.0;259.0;28218.0
1759.07;439.11;-439.59;19.11;0.0;64764.0;95.0;32882.0
1636.62;439.27;-439.98;-4.14;0.0;64507.0;0.0;32958.0
1537.39;486.02;-361.02;251.53;0.0;64507.0;74.0;35516.0
1423.76;482.85;-387.4;-208.62;0.0;64507.0;153.0;38838.0
1305.95;459.58;-439.9;-9.35;0.0;64507.0;50.0;41786.0
1188.27;431.97;-333.46;-287.07;0.0;64507.0;259.0;44410.0
1135.11;323.55;-118.91;-423.63;0.0;64507.0;134.0;47200.0
1065.84;236.37;-322.36;-299.47;0.0;64764.0;0.0;48872.0
1023.05;129.2;42.71;-437.92;0.0;65278.0;178.0;51232.0
1045.01;8.42;24.24;-439.33;0.0;64507.0;65276.0;52560.0
1007.19;-107.5;-149.3;-413.9;0.0;64764.0;60.0;54526.0
1006.46;-223.81;214.69;-384.07;0.0;64764.0;270.0;56412.0
