x;y;vx;vy;pitch;roll;yaw;;;x;y;vx;vy;pitch;roll;yaw
1918,73;-161,09;2,89;-439,99;64764;0;49220;;;;;;;;;
1920,89;-283,99;23,99;-439,35;64764;40;49966;;;;;;;;;
1928,31;-396,52;28,48;-439,08;64507;0;49826;;;;;;;;;
1936,23;-519,2;28,34;-439,09;64507;0;49826;;;;;;;;;
1944,18;-642,37;28,33;-439,09;64507;0;49826;;;;;;;;;
1952,13;-765,53;28,33;-439,09;64507;0;49826;;;;;;;;;
1959,48;-879,52;28,33;-439,09;64507;0;49826;;;;;;;;;
1967,31;-1000,75;28,33;-439,09;64507;0;49826;;;;;;;;;
1975,28;-1124,39;28,33;-439,09;64507;0;49826;;;;;;;;;
1983,2;-1247,08;28,33;-439,09;64507;0;49826;;;;;;;;;
1973,02;-1365,88;-179,65;-401,66;64507;135;49146;;;;;;;;;
1961,56;-1478,59;-7,57;-439,94;64507;0;49108;;;;;;;;;
1958,22;-1600,98;-20,15;-439,54;64507;0;48624;;;;;;;;;
1951,26;-1722,75;-34,31;-438,66;64507;0;48240;;;;;;;;;
1941;-1844,77;-35,72;-438,55;64250;0;48306;;;;;;;;;
1930,56;-1968,71;-37,2;-438,42;64507;0;48268;;;;;;;;;
1921,06;-2080,6;-37,24;-438,43;64507;0;48268;;;;;;;;;
1914,97;-2203,24;29,1;-439,03;64250;185;51316;;;;;;;;;
1953,45;-2317,06;217,32;-382,59;64250;215;56488;;;;;;;;;
2058,64;-2367,23;436,06;58,76;64250;270;6070;;;;;;;;;
2122,88;-2274,18;40,26;438,15;64250;270;17064;;;;;;;;;
2123,93;-2150,3;-3,67;439,98;64250;0;16494;;;;;;;;;
2122,87;-2038,02;-5,38;439,97;64507;0;16572;;;;;;;;;
2121,19;-1915,1;-3,91;439,98;64507;0;16458;;;;;;;;;
2120,3;-1790,71;-2,33;440;64507;0;16420;;;;;;;;;
2120,16;-1678,42;0,06;440;64764;0;16382;;;;;;;;;
2120,23;-1555,97;0,91;440;64764;0;16306;;;;;;;;;
2121,03;-1431,1;3,32;439,99;64764;0;16306;;;;;;;;;
2122,76;-1307,7;8,89;439,91;64764;0;16138;;;;;;;;;
2125,57;-1185,28;10,42;439,88;64764;0;16138;;;;;;;;;
2128,63;-1062,86;11,08;439,86;64764;0;16138;;;;;;;;;
2131,61;-939;10,47;439,88;64764;0;16138;;;;;;;;;
2134,05;-825,77;8,88;439,91;64764;0;16176;;;;;;;;;
2135,75;-702,36;3,99;439,98;64764;0;16300;;;;;;;;;
2136,7;-576,04;2,4;439,99;64764;0;16338;;;;;;;;;
2136,71;-463,75;-1,42;440;63993;0;16464;;;;;;;;;
2135,17;-341,79;-6,75;439,95;63993;0;16550;;;;;;;;;
2133,17;-219,84;-8,16;439,92;63993;0;16588;;;;;;;;;
2130,81;-97,9;-8,57;439,92;63993;65535;16626;;;;;;;;;
2123,65;24,45;-13,01;439,81;63993;0;16626;;;;;;;;;
2125,48;147,3;27,16;439,16;63736;0;15640;;;;;;;;;
2133,98;269,94;31,25;438,89;63479;0;15870;;;;;;;;;
2114,64;389,78;-179,18;401,86;63222;201;22240;;;;;;;;;
2034,26;464,49;-425,2;113,15;63222;270;34768;;;;;;;;;
1948,82;394,78;-115,28;-424,63;63222;259;48906;;;;;;;;;
1949,97;270,48;56,59;-436,35;63736;57;50760;;;;;;;;;
1958,63;148,94;0,28;-440;64250;65486;48852;;;;;;;;;
1954,59;27,55;-29,64;-439;64250;0;48304;;;;;;;;;
1944,82;-96,94;-35,6;-438,56;64250;0;48304;;;;;;;;;
1936,01;-221,01;-20,68;-439,51;64507;29;48830;;;;;;;;;
1932,7;-333,24;-9,52;-439,9;64507;0;48944;;;;;;;;;
1930,18;-457,61;-8,79;-439,91;64764;0;48906;;;;;;;;;
1927,36;-580,51;-10,42;-439,88;64764;0;48906;;;;;;;;;
1924,43;-703,89;-10,45;-439,88;64764;0;48906;;;;;;;;;
1922,78;-827,79;-0,39;-440;64764;0;49248;;;;;;;;;
1923,57;-942,01;3,92;-439,98;64764;0;49248;;;;;;;;;
1924,69;-1065,42;4,05;-439,98;64764;0;49248;;;;;;;;;
1925,85;-1190,77;4,05;-439,98;64764;0;49248;;;;;;;;;
1926,98;-1313,7;4,05;-439,98;64764;0;49248;;;;;;;;;
1928,11;-1436,63;4,06;-439,98;64764;0;49248;;;;;;;;;
1929,16;-1549,88;4,05;-439,98;64764;0;49248;;;;;;;;;
1930,3;-1673,78;4,05;-439,98;64764;0;49248;;;;;;;;;
1931,42;-1795,74;4,05;-439,98;64764;0;49248;;;;;;;;;
1932,55;-1918,19;4,06;-439,98;64764;0;49248;;;;;;;;;
1933,69;-2041,61;4,05;-439,98;64764;0;49248;;;;;;;;;
1933;-2154,37;-7,17;-439,94;64250;0;48988;;;;;;;;;
1931,91;-2278,26;11,88;-439,84;64250;89;50374;;;;;;;;;
1986,78;-2381,99;356,24;-258,25;63736;247;62992;;;;;;;;;
2086,03;-2338,43;210,69;386,28;63993;270;13042;;;;;;;;;
2112,38;-2221,01;7,89;439,93;64764;120;16952;;;;;;;;;
2109,04;-2098,61;-7,38;439,94;64507;0;16480;;;;;;;;;
2107,78;-1978,58;-2,03;440;64507;0;16312;;;;;;;;;
2109,98;-1855,67;11,93;439,84;64507;0;16082;;;;;;;;;
2113,42;-1743,44;14,19;439,77;64507;0;16044;;;;;;;;;
2117,36;-1622,02;14,32;439,77;64507;0;16044;;;;;;;;;
2121,4;-1498,18;14,33;439,77;64507;0;16044;;;;;;;;;
2124,71;-1377,22;9,96;439,89;64507;0;16158;;;;;;;;;
2127,42;-1254,32;9,6;439,89;64507;0;16158;;;;;;;;;
2129,59;-1131,4;2,67;439,99;64764;0;16436;;;;;;;;;
