x;y;vx;vy;pitch;roll;yaw
2094.35;-949.34;-13.66;439.79;65021.0;0.0;16710.0
2090.55;-826.95;-13.66;439.79;65021.0;0.0;16710.0
2086.73;-704.07;-13.67;439.79;64764.0;0.0;16672.0
2083.55;-581.66;-9.02;439.91;64764.0;0.0;16582.0
2081.19;-458.75;-8.28;439.92;64507.0;0.0;16582.0
2078.94;-336.8;-7.07;439.94;64507.0;0.0;16468.0
2078.11;-225.49;-2.06;440.0;64507.0;0.0;16392.0
2083.37;-101.73;28.83;439.05;64250.0;0.0;15670.0
2091.78;21.89;30.14;438.97;64250.0;0.0;15670.0
2100.27;145.5;30.17;438.97;63993.0;0.0;15746.0
2105.85;258.13;13.25;439.8;63479.0;29.0;16238.0
2097.36;382.82;-91.21;430.44;63479.0;160.0;19684.0
2031.61;478.77;-405.6;170.54;63479.0;247.0;33672.0
1924.59;434.96;-280.06;-339.36;63479.0;281.0;44250.0
1893.29;318.27;29.19;-439.03;63993.0;185.0;50894.0
1907.83;206.45;48.25;-437.35;64250.0;65469.0;49926.0
1915.2;83.77;14.96;-439.75;65021.0;0.0;49466.0
1917.86;-38.16;4.04;-439.98;64764.0;0.0;49220.0
1918.73;-161.09;2.89;-439.99;64764.0;0.0;49220.0
1920.89;-283.99;23.99;-439.35;64764.0;40.0;49966.0
1928.31;-396.52;28.48;-439.08;64507.0;0.0;49826.0
1936.23;-519.2;28.34;-439.09;64507.0;0.0;49826.0
1944.18;-642.37;28.33;-439.09;64507.0;0.0;49826.0
1952.13;-765.53;28.33;-439.09;64507.0;0.0;49826.0
1959.48;-879.52;28.33;-439.09;64507.0;0.0;49826.0
1967.31;-1000.75;28.33;-439.09;64507.0;0.0;49826.0
1975.28;-1124.39;28.33;-439.09;64507.0;0.0;49826.0
1983.2;-1247.08;28.33;-439.09;64507.0;0.0;49826.0
1973.02;-1365.88;-179.65;-401.66;64507.0;135.0;49146.0
1961.56;-1478.59;-7.57;-439.94;64507.0;0.0;49108.0
1958.22;-1600.98;-20.15;-439.54;64507.0;0.0;48624.0
1951.26;-1722.75;-34.31;-438.66;64507.0;0.0;48240.0
1941.0;-1844.77;-35.72;-438.55;64250.0;0.0;48306.0
1930.56;-1968.71;-37.2;-438.42;64507.0;0.0;48268.0
1921.06;-2080.6;-37.24;-438.43;64507.0;0.0;48268.0
1914.97;-2203.24;29.1;-439.03;64250.0;185.0;51316.0
1953.45;-2317.06;217.32;-382.59;64250.0;215.0;56488.0
2058.64;-2367.23;436.06;58.76;64250.0;270.0;6070.0
2122.88;-2274.18;40.26;438.15;64250.0;270.0;17064.0
2123.93;-2150.3;-3.67;439.98;64250.0;0.0;16494.0
2122.87;-2038.02;-5.38;439.97;64507.0;0.0;16572.0
2121.19;-1915.1;-3.91;439.98;64507.0;0.0;16458.0
2120.3;-1790.71;-2.33;440.0;64507.0;0.0;16420.0
2120.16;-1678.42;0.06;440.0;64764.0;0.0;16382.0
2120.23;-1555.97;0.91;440.0;64764.0;0.0;16306.0
2121.03;-1431.1;3.32;439.99;64764.0;0.0;16306.0
2122.76;-1307.7;8.89;439.91;64764.0;0.0;16138.0
2125.57;-1185.28;10.42;439.88;64764.0;0.0;16138.0
2128.63;-1062.86;11.08;439.86;64764.0;0.0;16138.0
2131.61;-939.0;10.47;439.88;64764.0;0.0;16138.0
2134.05;-825.77;8.88;439.91;64764.0;0.0;16176.0
2135.75;-702.36;3.99;439.98;64764.0;0.0;16300.0
